  0.0676549911  0.061240969  0.0610811953  0.0723351605  0.0679622023
  0.0756624927  0.0890750821  0.090305467  0.125407876  0.125282508
  0.135240756  0.229135408  0.190479753  0.213211327  0.418160797  0.291328339
  0.332757174  0.729457938  0.427836989  0.495490271  1.19610857  0.593944385
  0.696111057  1.82481085  0.78190863  0.921731779  2.60578979  0.978068607
  1.15622877  3.36559145  1.16175554  1.36029012  4.17016585  1.28997209
  1.47272347  4.8316501  1.34154288  1.52664685  5.54705294  1.35755865
  1.54364057  6.10858299  1.35167545  1.53426989  6.66748253  1.33194099
  1.50680834  7.58483188  1.30213472  1.46766834  7.65772963  1.26794693
  1.42158976  8.3451304  1.2316037  1.37194727  8.56368175  1.19479511
  1.32106959  9.29233061  1.15836009  1.2705154  9.37086459  1.12289257
  1.22129133  10.4820001  1.09059256  1.17401593  10.7865557  1.05867689
  1.12903958  10.28214  1.0312049  1.0865302  14.638395  1.00329445  1.04653399
  11.0985748
