  0.10885868  0.0841292535  0.0748885968  0.111527536  0.0900133559
  0.089992689  0.120760253  0.107679885  0.138596192  0.139348483  0.137618806
  0.229634591  0.169802695  0.180909909  0.374827807  0.212931909  0.238063352
  0.585977254  0.267522019  0.30796499  0.872000926  0.330970493  0.388111006
  1.22323581  0.400823647  0.474676408  1.68152341  0.473062699  0.563421011
  2.1260965  0.543646087  0.645454246  2.72214558  0.602064033  0.707047323
  3.15309902  0.644096662  0.753423784  3.87012265  0.676062078  0.788338967
  4.16685046  0.701411278  0.813844038  4.84399378  0.721720071  0.831826614
  6.23030089  0.736897334  0.843958771  5.76033741  0.750352831  0.85163879
  6.8588089  0.761031152  0.85599322  7.38500357  0.770219402  0.857908061
  9.51011496  0.779139435  0.858069093  7.98094082  0.786085004  0.857001136
  9.96824941  0.795345256  0.855102429  9.91717338  0.802299012  0.852673031
  9.47185308  0.811403296  0.849937502  16.44348  0.817853736  0.847062703
  10.2471357
